available_spots,capacity,prefix,course_number,type,section,title,credits,time,days,room,building,spec,instructor,session,additional_meet_times,additional_meet_days,additional_notes
12,18,CSC,1240,,1,STATS & GRAPH MATLB,3.0,1130-1220,M W,1216,PATRICK TAYLOR,,BRENER N,Normal,1130-0120,F,
(F),50,CSC,1253,,1,COMP SCI WITH C++,3.0,1030-1150,T TH,0105,TUREAUD HALL,,LAFLEUR S,Normal,,,
2,48,CSC,1253,,2,COMP SCI WITH C++,3.0,130-0250,T TH,1240,PATRICK TAYLOR,,WALKER C,Normal,,,
6,24,CSC,1254,,1,COMP SCI 11 WITH C++,3.0,130-0220,M W F,1216,PATRICK TAYLOR,,DUNCAN W,Normal,,,
6,44,CSC,1350,,1,COMP SCI I-MJRS,4.0,1030-1120,M W F,1221,PATRICK TAYLOR,,DONZE D,Normal,430-0720N,W,
10,40,CSC,1350,,2,COMP SCI I-MJRS,4.0,1030-1150,T TH,1236,PATRICK TAYLOR,,EMANET F,Normal,430-0720N,T,
15,85,CSC,1351,,2,COMP SCI II-MJRS,4.0,930-1020,M W F,B009,LOCKETT,,BRANDT S,Normal,130-0420,F,
58,42,CSC,1351,,3,COMP SCI II-MJRS,4.0,230-0320,M W F,1263,PATRICK TAYLOR,,BRENER N,Normal,430-0720N,M,
12,47,CSC,1351,,1,COMP SCI II-MJRS,4.0,1030-1150,T TH,0102,TUREAUD HALL,,BRENER N,Normal,430-0720N,TH,
12,36,CSC,2259,,2,DISCRETE STRUCTURES,3.0,900-1020,T TH,1212,PATRICK TAYLOR,,DUNCAN W,Normal,,,
3,82,CSC,2259,,1,DISCRETE STRUCTURES,3.0,130-0250,T TH,1221,PATRICK TAYLOR,,ISLAM L,Normal,,,
6,79,CSC,2262,,2,NUMERICAL METHODS,3.0,900-1020,T TH,0105,TUREAUD HALL,,LAFLEUR S,Normal,,,
(F),96,CSC,2262,,1,NUMERICAL METHODS,3.0,130-0250,T TH,1225,PATRICK TAYLOR,,ELDEWAHI A,Normal,,,
1,59,CSC,2362,,1,INTRO TO CYBERSECUR,3.0,300-0420,T TH,1236,PATRICK TAYLOR,CI-WRITTEN&SPOK,DONZE D,Normal,,,SECTION INVOLVES COMMUNICATION-INTENSIVE LEARNING
1,74,CSC,2463,,1,PROGMMG DGITL MEDIA,3.0,130-0250,T TH,0206,TUREAUD HALL,,WEBB A,Normal,,,
15,34,CSC,2610,,1,CLOUD & WEB PROGMNG,3.0,900-1020,T TH,2324,PATRICK TAYLOR,CI-WRITTEN&VISU,WANG Q,Normal,,,SECTION INVOLVES COMMUNICATION-INTENSIVE LEARNING
14,26,CSC,2700,,2,INT TO DIG FORENSICS,1-3,1200-0120,T TH,2317,PATRICK TAYLOR,,WALKER C,Normal,,,
7,13,CSC,2700,,1,CMPTVE PRGMG 1 CRED,1-3,630-0820N,T,1212,PATRICK TAYLOR,,TRAXLER I,Normal,,,
(F),131,CSC,3102,,1,ADV DATA STRUCTURES,3.0,900-1020,T TH,0103,WILLIAMS,,SUN M,Normal,,,
14,80,CSC,3200,,1,ETHICS IN COMPUTING,1.0,130-0220,M,0105,TUREAUD HALL,,SPINOSA T,Normal,,,
80,20,CSC,3200,,2,ETHICS IN COMPUTING,1.0,330-0420,M,1200,PATRICK TAYLOR,,BROWN W,Normal,,,
(F),90,CSC,3304,,1,INTRO TO SYSTM PROG,3.0,1130-1220,M W F,1221,PATRICK TAYLOR,,DONZE D,Normal,,,
44,105,CSC,3304,,2,INTRO TO SYSTM PROG,3.0,1200-0120,T TH,1202,PATRICK TAYLOR,,TRAMMELL D,Normal,,,
9,91,CSC,3380,,2,OBJ ORIENTED DESIGN,3.0,230-0320,M W F,0103,TUREAUD HALL,,DENNY J,Normal,,,
11,89,CSC,3380,,1,OBJ ORIENTED DESIGN,3.0,1030-1150,T TH,1263,PATRICK TAYLOR,,DENNY J,Normal,,,
(F),130,CSC,3501,,1,COMP ORGANIZATN/DSN,3.0,1030-1120,M W F,1200,PATRICK TAYLOR,,FRONCHETTI DI,Normal,,,
